,entity minimal-entity data-provider boundary,entity boundary,commander boundary degenerate,controller lazy-class data-class small-class,entity commander boundary,data-provider lazy-class degenerate,commander boundary data-class,large-class degenerate,minimal-entity boundary,lazy-class,pure-controller degenerate,entity data-provider boundary lazy-class,commander,data-provider degenerate,entity data-provider boundary,entity boundary small-class,data-provider,entity commander boundary lazy-class,data-provider boundary data-class,boundary small-class,factory pure-controller,entity data-provider data-class small-class,controller data-class small-class,boundary lazy-class data-class,commander data-class,entity data-provider boundary lazy-class degenerate,controller small-class,entity degenerate,entity small-class,data-class small-class,factory degenerate,data-provider small-class,data-provider lazy-class small-class,large-class lazy-class degenerate,boundary controller degenerate,pure-controller degenerate small-class,entity,factory controller degenerate,lazy-class data-class small-class,entity lazy-class degenerate,lazy-class degenerate,boundary controller lazy-class degenerate,commander boundary lazy-class degenerate,boundary large-class degenerate,commander boundary lazy-class,controller lazy-class small-class,controller lazy-class degenerate,commander boundary small-class,entity minimal-entity,boundary large-class,entity data-provider small-class,commander boundary data-class small-class,boundary data-class,entity factory controller small-class,minimal-entity lazy-class,controller data-class,data-provider lazy-class,data-provider boundary degenerate,entity lazy-class small-class,unclassified,factory controller lazy-class degenerate,entity lazy-class,commander degenerate,pure-controller,factory pure-controller degenerate,entity data-class small-class,controller lazy-class,commander lazy-class small-class,entity minimal-entity lazy-class,degenerate,data-provider boundary lazy-class small-class,entity data-class,entity factory controller,factory controller data-class small-class,minimal-entity data-provider boundary,entity boundary data-class,entity factory controller lazy-class degenerate,entity factory controller data-class,factory degenerate small-class,boundary data-class small-class,data-provider boundary lazy-class,factory controller lazy-class data-class small-class,data-provider data-class,commander boundary,entity boundary data-class small-class,boundary controller,factory pure-controller degenerate small-class,entity boundary degenerate,factory controller lazy-class,boundary lazy-class,minimal-entity boundary lazy-class,entity boundary lazy-class,entity factory controller degenerate,controller degenerate,entity boundary lazy-class small-class,data-provider boundary data-class small-class,factory controller,boundary lazy-class data-class small-class,commander boundary large-class,entity data-provider boundary degenerate,factory small-class,entity minimal-entity commander boundary,entity minimal-entity factory controller,entity data-provider,entity factory controller data-class small-class,minimal-entity commander boundary,lazy-class data-class,boundary lazy-class small-class,pure-controller small-class,lazy-class small-class,data-provider data-class small-class,boundary degenerate,entity data-provider boundary data-class,minimal-entity controller,data-provider boundary small-class,entity commander boundary degenerate,minimal-entity,boundary degenerate small-class,entity data-provider boundary small-class,factory pure-controller small-class,boundary,minimal-entity factory controller,empty,minimal-entity data-provider,boundary large-class lazy-class degenerate,commander boundary lazy-class small-class,small-class,data-provider boundary lazy-class degenerate,controller,entity minimal-entity boundary lazy-class,data-provider boundary,entity data-provider boundary data-class small-class,entity commander boundary lazy-class degenerate,factory controller data-class,boundary lazy-class degenerate,entity boundary lazy-class degenerate,entity minimal-entity boundary,entity data-provider factory controller data-class,commander small-class,factory controller small-class,commander lazy-class degenerate,data-provider boundary large-class,data-class,factory,factory controller lazy-class small-class,large-class,commander data-class small-class,degenerate small-class,commander lazy-class
recastnavigation (C++),0,9,0,0,2,0,0,0,0,0,0,0,18,0,5,4,18,0,0,13,0,0,0,0,0,0,0,0,0,6,0,21,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,19,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,10,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,22,0,0,22,1,0,10,0,241,0,0,0,16,0,1,0,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13,1
sentencepiece (C++),0,14,1,0,0,0,1,0,0,0,0,0,2,0,6,2,11,0,3,7,0,0,0,0,1,0,0,0,0,1,0,8,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,26,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,12,0,0,16,0,0,20,0,171,0,0,0,5,1,0,0,13,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,7,0
spdlog (C++),0,16,0,0,5,0,1,0,1,0,0,0,2,0,5,8,1,0,1,20,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,2,0,0,22,0,0,9,0,0,6,0,202,0,0,0,8,0,0,0,4,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,6,0
libco (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C-Plus-Plus (C++),0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,6,0,24,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Magisk (C++),0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,4,0,97,0,0,0,11,0,0,0,2,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,3,0
devilutionX (C++),0,7,0,0,1,0,0,0,0,1,0,0,1,0,3,6,16,0,0,2,0,0,2,0,0,0,8,0,0,2,0,6,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,17,0,0,25,0,225,0,0,0,7,0,0,0,31,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
uWebSockets.js (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FastLED (C++),0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,99,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0
devilution (C++),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
