Class Name,Class Stereotype,Method Name,Method Stereotype
"VersionTest","commander boundary","addDataColumns","wrapper stateless",
"VersionTest","commander boundary","setupVersions","command",
"VersionTest","commander boundary","test_versionCompare_data","command",
"VersionTest","commander boundary","test_versionCompare","wrapper stateless",
"VersionTest","commander boundary","test_flexVerTestVector_data","command collaborator",
"VersionTest","commander boundary","test_flexVerTestVector","wrapper stateless",
"TexturePackParseTest","pure-controller degenerate","test_parseZIP","controller stateless",
"TexturePackParseTest","pure-controller degenerate","test_parseFolder","controller stateless",
"TexturePackParseTest","pure-controller degenerate","test_parseFolder2","controller stateless",
"TaskTest","pure-controller degenerate","test_SetStatus_NoMultiStep","controller stateless",
"TaskTest","pure-controller degenerate","test_SetStatus_MultiStep","controller stateless",
"TaskTest","pure-controller degenerate","test_SetProgress","controller stateless",
"TaskTest","pure-controller degenerate","test_basicRun","controller stateless",
"TaskTest","pure-controller degenerate","test_basicConcurrentRun","controller stateless",
"TaskTest","pure-controller degenerate","test_moreConcurrentRun","controller stateless",
"TaskTest","pure-controller degenerate","test_basicSequentialRun","controller stateless",
"TaskTest","pure-controller degenerate","test_basicMultipleOptionsRun","controller stateless",
"TaskTest","pure-controller degenerate","test_stackOverflowInConcurrentTask","controller stateless",
"BigConcurrentTask","commander boundary small-class","executeNextSubTask","non-void-command collaborator",
"ShaderPackParseTest","pure-controller degenerate","test_parseZIP","controller stateless",
"ShaderPackParseTest","pure-controller degenerate","test_parseFolder","controller stateless",
"ShaderPackParseTest","pure-controller degenerate","test_parseZIP2","controller stateless",
"ResourceModelTest","degenerate small-class","test_abstract_item_model","wrapper stateless",
"ResourceModelTest","degenerate small-class","test_search","controller stateless",
"ParseUtilsTest","boundary degenerate small-class","test_Through_data","wrapper stateless",
"ParseUtilsTest","boundary degenerate small-class","test_Through","wrapper stateless",
"MojangVersionFormatTest","pure-controller degenerate small-class","test_Through_Simple","controller stateless",
"MojangVersionFormatTest","pure-controller degenerate small-class","test_Through","controller stateless",
"MetaComponentParseTest","commander","doTest","controller stateless",
"MetaComponentParseTest","commander","test_parseComponentBasic","command",
"MetaComponentParseTest","commander","test_parseComponentWithFormat","command",
"MetaComponentParseTest","commander","test_parseComponentWithExtra","command",
"MetaComponentParseTest","commander","test_parseComponentWithLink","command",
"MetaComponentParseTest","commander","test_parseComponentWithMixed","command",
"LibraryTest","degenerate","readMojangJson","controller stateless",
"LibraryTest","degenerate","getStorage","controller stateless",
"LibraryTest","degenerate","dummyContext","collaborator incidental",
"LibraryTest","degenerate","initTestCase","controller stateless",
"LibraryTest","degenerate","test_legacy","command collaborator",
"JavaVersionTest","degenerate","test_Parse_data","wrapper stateless",
"JavaVersionTest","degenerate","test_Parse","controller stateless",
"JavaVersionTest","degenerate","test_Sort_data","wrapper stateless",
"JavaVersionTest","degenerate","test_Sort","wrapper stateless",
"JavaVersionTest","degenerate","test_PermGen_data","wrapper stateless",
"JavaVersionTest","degenerate","test_PermGen","controller stateless",
"IndexTest","pure-controller degenerate small-class","test_hasUid_and_getList","controller stateless",
"IndexTest","pure-controller degenerate small-class","test_merge","controller stateless",
"IniFileTest","degenerate","initTestCase","empty",
"IniFileTest","degenerate","cleanupTestCase","empty",
"IniFileTest","degenerate","test_Escape_data","wrapper stateless",
"IniFileTest","degenerate","test_SaveLoad","controller stateless",
"IniFileTest","degenerate","test_SaveLoadLists","controller stateless",
"IniFileTest","degenerate","test_SaveAlreadyExistingFile","controller stateless",
"IniFileTest","degenerate","test_SaveAlreadyExistingFileWithSpecialChars","controller stateless",
"IniFileTest","degenerate","test_SaveAlreadyExistingFileWithSpecialCharsV1","controller stateless",
"BasicTask","commander small-class","executeTask","command",
"ApiUpload","small-class","ApiUpload::makeByteArray","controller stateless",
"ApiUpload","small-class","ApiUpload::init","command collaborator",
"ModrinthPackExportTask","commander","ModrinthPackExportTask::ModrinthPackExportTask","constructor",
"ModrinthPackExportTask","commander","ModrinthPackExportTask::executeTask","command",
"ModrinthPackExportTask","commander","ModrinthPackExportTask::abort","predicate non-void-command",
"ModrinthPackExportTask","commander","ModrinthPackExportTask::collectFiles","command",
"ModrinthPackExportTask","commander","ModrinthPackExportTask::collectHashes","command collaborator",
"PrivatePackManager","entity boundary","~PrivatePackManager","destructor",
"PrivatePackManager","entity boundary","empty","predicate",
"PrivatePackManager","entity boundary","getCurrentPackCodes","get collaborator",
"PrivatePackManager","entity boundary","add","void-accessor set collaborator",
"PrivatePackManager","entity boundary","remove","void-accessor set collaborator",
"PrivatePackManager","entity boundary","PrivatePackManager::load","command collaborator",
"PrivatePackManager","entity boundary","PrivatePackManager::save","set collaborator",
"FlameCheckUpdate","unclassified","FlameCheckUpdate","constructor",
"FlameCheckUpdate","unclassified","FlameCheckUpdate::abort","predicate set",
"FlameCheckUpdate","unclassified","FlameCheckUpdate::getProjectInfo","property controller",
