Class Name,Class Stereotype,Method Name,Method Stereotype
"WizardPage3","boundary degenerate","WizardPage3","constructor",
"WizardPage3","boundary degenerate","backButton_Click","wrapper stateless",
"WizardPage3","boundary degenerate","cancelButton_Click","wrapper stateless",
"WizardPage3","boundary degenerate","finishButton_Click","wrapper stateless",
"WizardLauncher","commander boundary small-class","Start","command collaborator",
"WizardLauncher","commander boundary small-class","wizardPage_Return","wrapper",
"WizardDialogBox","commander boundary data-class small-class","WizardDialogBox","constructor",
"WizardDialogBox","commander boundary data-class small-class","wizardLauncher_WizardReturn","set collaborator",
"SizingWindow","empty","SizingWindow","constructor",
"Point","empty","Point","constructor",
"MarginValidationRule","factory controller small-class","Validate","property factory wrapper",
"FindDialogBox","commander boundary","FindDialogBox","constructor",
"FindDialogBox","commander boundary","OnTextFound","wrapper stateless",
"FindDialogBox","commander boundary","findNextButton_Click","command collaborator",
"FindDialogBox","commander boundary","textBoxToSearch_TextChanged","command collaborator",
"FindDialogBox","commander boundary","findWhatTextBox_TextChanged","command collaborator",
"FindDialogBox","commander boundary","criteria_Click","command collaborator",
"FindDialogBox","commander boundary","ResetFind","set",
"FindDialogBox","commander boundary","closeButton_Click","wrapper stateless",
"Option","data-provider data-class small-class","Option","constructor",
"Option","data-provider data-class small-class","get","get",
"Option","data-provider data-class small-class","get","get",
"TranslationDictionariesReader","entity boundary small-class","TranslationDictionariesReader","constructor",
"TranslationDictionariesReader","entity boundary small-class","get","property non-void-command collaborator",
"TranslationDictionariesReader","entity boundary small-class","set","set collaborator",
"ResourceTextWriter","pure-controller degenerate small-class","ResourceTextWriter","constructor",
"ResourceTextWriter","pure-controller degenerate small-class","WriteColumn","controller stateless",
"LocBamlOptions","unclassified","CheckAndSetDefault","property non-void-command",
"LocBamlOptions","unclassified","WriteLine","unclassified",
"LocBamlOptions","unclassified","Write","unclassified",
"BamlStream","unclassified","BamlStream","constructor",
"BamlStream","unclassified","Close","command",
"BamlStream","unclassified","get","get",
"BamlStream","unclassified","get","get collaborator",
"DefaultAttributes","factory degenerate small-class","DefaultAttributes","constructor",
"DefaultAttributes","factory degenerate small-class","get","factory wrapper stateless",
"BamlLocalizabilityByReflection","data-provider","BamlLocalizabilityByReflection","constructor",
"BamlLocalizabilityByReflection","data-provider","GetElementLocalizability","property non-void-command factory collaborator",
"BamlLocalizabilityByReflection","data-provider","GetPropertyLocalizability","property non-void-command collaborator",
"BamlLocalizabilityByReflection","data-provider","ResolveFormattingTagToClass","get property wrapper",
"BamlLocalizabilityByReflection","data-provider","ResolveAssemblyFromClass","get property set collaborator",
"BamlLocalizabilityByReflection","data-provider","GetType","get property non-void-command collaborator",
"BamlLocalizabilityByReflection","data-provider","GetLocalizabilityFromType","property controller",
"BamlLocalizabilityByReflection","data-provider","GetLocalizabilityForClrProperty","void-accessor controller",
"BamlLocalizabilityByReflection","data-provider","GetLocalizabilityForAttachedProperty","void-accessor command collaborator",
"BamlLocalizabilityByReflection","data-provider","DependencyPropertyFromName","controller stateless",
"TypeInfoTableEntry","data-provider data-class small-class","TypeInfoTableEntry","constructor",
"TypeInfoTableEntry","data-provider data-class small-class","get","get",
"TypeInfoTableEntry","data-provider data-class small-class","get","get",
"HexDumper","unclassified","HexDumper","constructor",
"HexDumper","unclassified","DumpOneBigString","property non-void-command",
"HexDumper","unclassified","GetLines","property non-void-command collaborator",
"HexDumper","unclassified","HexStringConvert","property controller",
"HexDumper","unclassified","TextConvert","controller stateless",
"HexDumper","unclassified","Pad","incidental",
"HexDumper","unclassified","get","get",
"HexDumper","unclassified","set","set",
"HexDumper","unclassified","get","get",
"HexDumper","unclassified","set","set",
"HexDumper","unclassified","get","property",
"DiagnosticWriter","unclassified","DiagnosticWriter","constructor",
"DiagnosticWriter","unclassified","DiagnosticWriter","constructor",
"DiagnosticWriter","unclassified","DiagnosticWriter","constructor",
"DiagnosticWriter","unclassified","WriteNamespace","command collaborator",
"DiagnosticWriter","unclassified","WriteStartObject","command collaborator",
"DiagnosticWriter","unclassified","WriteGetObject","command",
"DiagnosticWriter","unclassified","WriteEndObject","command",
"DiagnosticWriter","unclassified","WriteStartMember","command collaborator",
"DiagnosticWriter","unclassified","WriteEndMember","command",
"DiagnosticWriter","unclassified","WriteValue","command collaborator",
"DiagnosticWriter","unclassified","Dispose","command",
"DiagnosticWriter","unclassified","SetLineInfo","command",
"DiagnosticWriter","unclassified","BuildString","set",
"DiagnosticWriter","unclassified","get","get",
"DiagnosticWriter","unclassified","set","set",
"DiagnosticWriter","unclassified","get","get collaborator",
"DiagnosticWriter","unclassified","get","property collaborator",
"DiagnosticWriter","unclassified","get","incidental",
"DiagnosticWriter","unclassified","get","property set",
"DiagnosticWriter","unclassified","get","get",
"DiagnosticWriter","unclassified","set","set",
"DiagnosticWriter","unclassified","get","get",
"DiagnosticWriter","unclassified","get","get",
"DiagnosticWriter","unclassified","get","property",
"BamlResource","data-provider","BamlResource","constructor",
"BamlResource","data-provider","get","get",
"BamlResource","data-provider","get","get collaborator",
"BamlResource","data-provider","get","get collaborator",
"BamlResource","data-provider","get","predicate non-void-command",
"BamlRecord","data-provider boundary","BamlRecord","copy-constructor",
"BamlRecord","data-provider boundary","Clone","property non-void-command factory",
"BamlRecord","data-provider boundary","get","get collaborator",
"BamlRecord","data-provider boundary","get","get",
"BamlRecord","data-provider boundary","get","get collaborator",
"BamlRecord","data-provider boundary","get","get collaborator",
"AttributeInfoTableEntry","data-provider data-class","AttributeInfoTableEntry","constructor",
"AttributeInfoTableEntry","data-provider data-class","get","get",
"AttributeInfoTableEntry","data-provider data-class","get","get",
"AttributeInfoTableEntry","data-provider data-class","get","get",
"BamlReflectorContext","boundary","BamlReflectorContext","constructor",
"BamlReflectorContext","boundary","EnsureBamlResourceLoad","command collaborator",
