Class Name,Class Stereotype,Method Name,Method Stereotype
"ExposedClass","entity boundary","ExposedClass","constructor",
"ExposedClass","entity boundary","TryInvokeMember","property non-void-command collaborator",
"ExposedClass","entity boundary","TrySetMember","property non-void-command collaborator",
"ExposedClass","entity boundary","TryGetMember","property non-void-command collaborator",
"StartupOption","small-class","StartupOption","constructor",
"StartupOption","small-class","Parse","non-void-command factory collaborator",
"StartupOption","small-class","WriteOptionDescriptions","non-void-command collaborator",
"ProgressSource","commander small-class","Raise","command",
"WINTRUST_FILE_INFO","small-class","WINTRUST_FILE_INFO","constructor",
"WINTRUST_FILE_INFO","small-class","Dispose","command",
"WINTRUST_FILE_INFO","small-class","Dispose","controller",
"AnimatedGifWindow","commander boundary small-class","AnimatedGifWindow","constructor",
"AnimatedGifWindow","commander boundary small-class","OnMouseLeftButtonDown","non-void-command collaborator",
"NotBrokenWebClient","pure-controller degenerate small-class","GetWebRequest","controller stateless",
"SyncImplementations","empty","SyncImplementations","constructor",
"ArgumentSource","empty","ArgumentSource","constructor",
"ArgumentSource","empty","ArgumentSource","constructor",
"OptionValueCollection","commander boundary","OptionValueCollection","set collaborator",
"OptionValueCollection","commander boundary","ICollection.CopyTo","wrapper",
"OptionValueCollection","commander boundary","OptionValueCollection","set collaborator",
"OptionValueCollection","commander boundary","ICollection.CopyTo","wrapper",
"Semver200_parser","pure-controller degenerate small-class","Semver200_parser::parse","controller stateless",
"FuncDependencyResolver","boundary","FuncDependencyResolver","constructor",
"FuncDependencyResolver","boundary","GetService","property non-void-command collaborator",
"FuncDependencyResolver","boundary","GetServices","wrapper stateless",
"FuncDependencyResolver","boundary","Dispose","command",
"FuncDependencyResolver","boundary","Register","controller",
"FuncDependencyResolver","boundary","ServiceRegistrationCallback","property set factory collaborator",
"SquirrelLocator","empty","SquirrelLocator","constructor",
"FuncLogManager","boundary degenerate small-class","FuncLogManager","constructor",
"FuncLogManager","boundary degenerate small-class","GetLogger","wrapper stateless",
"ApplyReleasesProgress","unclassified","ApplyReleasesProgress","constructor",
"ApplyReleasesProgress","unclassified","ReportReleaseProgress","set",
"ApplyReleasesProgress","unclassified","FinishRelease","command",
"ApplyReleasesProgress","unclassified","CalculateProgress","controller",
"_U_STRINGorID","empty","_U_STRINGorID","constructor",
"_U_STRINGorID","empty","_U_STRINGorID","constructor",
"_U_RECT","empty","_U_RECT","constructor",
"_U_RECT","empty","_U_RECT","constructor",
"CCapEditT","data-provider boundary lazy-class small-class","CCapEditT","constructor",
"CCapEditT","data-provider boundary lazy-class small-class","operator=","get collaborator",
"CCapEditT","data-provider boundary lazy-class small-class","Create","wrapper stateless",
"CDocListCtrlT","entity boundary lazy-class degenerate","CDocListCtrlT","constructor",
"CDocListCtrlT","entity boundary lazy-class degenerate","operator=","get collaborator",
"CDocListCtrlT","entity boundary lazy-class degenerate","Create","property non-void-command collaborator",
"CDocListCtrlT","entity boundary lazy-class degenerate","Create","property set collaborator",
"CDocListCtrlT","entity boundary lazy-class degenerate","DeleteSel","wrapper stateless",
"CDocListCtrlT","entity boundary lazy-class degenerate","DisableUpdates","wrapper stateless",
"CDocListCtrlT","entity boundary lazy-class degenerate","EnableUpdates","wrapper stateless",
"CDocListCtrlT","entity boundary lazy-class degenerate","GetFilterIndex","wrapper stateless",
"CDocListCtrlT","entity boundary lazy-class degenerate","GetItemCount","wrapper stateless",
"CDocListCtrlT","entity boundary lazy-class degenerate","GetNextItem","wrapper stateless",
